"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.99996,-0.0019867,-0.00074259,0.32,-1.1712,0.5
0.99996,-0.0020035,-0.00074443,0.32,-1.1675,0.5
0.99995,-0.0020203,-0.00074626,0.32,-1.1639,0.5
0.99995,-0.0020371,-0.00074809,0.32,-1.1602,0.5
0.99995,-0.0020539,-0.00074993,0.32,-1.1566,0.5
0.99994,-0.0020707,-0.00075176,0.32,-1.1529,0.5
0.99994,-0.0020874,-0.0007536,0.32,-1.1492,0.5
0.99993,-0.0021042,-0.00075543,0.32,-1.1456,0.5
0.99993,-0.0021235,-0.00075735,0.32,-1.1419,0.5
0.99992,-0.0021452,-0.00075935,0.32,-1.1383,0.5
0.99992,-0.0021669,-0.00076135,0.32,-1.1346,0.5
0.99991,-0.0021886,-0.00076335,0.32,-1.1309,0.5
0.99991,-0.0022104,-0.00076535,0.32,-1.1273,0.5
0.9999,-0.0022321,-0.00076735,0.32,-1.1236,0.5
0.9999,-0.0022538,-0.00076935,0.32,-1.12,0.5
0.99989,-0.0022755,-0.00077135,0.32,-1.1163,0.5
0.99989,-0.0022972,-0.00077335,0.32,-1.1126,0.5
0.99988,-0.002319,-0.00077535,0.32,-1.109,0.5
0.99987,-0.0023407,-0.00077735,0.32,-1.1053,0.5
0.99987,-0.0023624,-0.00077934,0.32,-1.1017,0.5
0.99986,-0.0023841,-0.00078134,0.32,-1.098,0.5
0.99986,-0.0024058,-0.00078334,0.32,-1.0943,0.5
0.99985,-0.0024276,-0.00078534,0.32,-1.0907,0.5
0.99985,-0.0024493,-0.00078734,0.32,-1.087,0.5
0.99984,-0.002471,-0.00078934,0.32,-1.0834,0.5
0.99984,-0.0024927,-0.00079134,0.32,-1.0797,0.5
0.99983,-0.0025144,-0.00079334,0.32,-1.076,0.5
0.99982,-0.0025362,-0.00079534,0.32,-1.0724,0.5
0.99982,-0.0025579,-0.00079734,0.32,-1.0687,0.5
0.99981,-0.0025796,-0.00079934,0.32,-1.0651,0.5
0.99981,-0.0026013,-0.00080134,0.32,-1.0614,0.5
0.9998,-0.0026231,-0.00080334,0.32,-1.0577,0.5
0.9998,-0.0026448,-0.00080534,0.32,-1.0541,0.5
0.99979,-0.0026665,-0.00080734,0.32,-1.0504,0.5
0.99979,-0.0026882,-0.00080934,0.32,-1.0468,0.5
0.99978,-0.0027099,-0.00081134,0.32,-1.0431,0.5
0.99978,-0.0027317,-0.00081333,0.32,-1.0394,0.5
0.99977,-0.0027534,-0.00081533,0.32,-1.0358,0.5
0.99976,-0.0027751,-0.00081733,0.32,-1.0321,0.5
0.99976,-0.0027985,-0.00081934,0.32,-1.0285,0.5
0.99975,-0.0028272,-0.00082135,0.32,-1.0248,0.5
0.99974,-0.0028558,-0.00082335,0.32,-1.0211,0.5
0.99973,-0.0028844,-0.00082536,0.32,-1.0175,0.5
0.99973,-0.0029131,-0.00082737,0.32,-1.0138,0.5
0.99972,-0.0029417,-0.00082938,0.32,-1.0102,0.5
0.99971,-0.0029703,-0.00083139,0.32,-1.0065,0.5
0.9997,-0.002999,-0.0008334,0.32,-1.0028,0.5
0.9997,-0.0030276,-0.00083541,0.32,-0.99918,0.5
0.99969,-0.0030562,-0.00083742,0.32,-0.99552,0.5
0.99968,-0.0030849,-0.00083943,0.32,-0.99186,0.5
0.99967,-0.0031135,-0.00084144,0.32,-0.9882,0.5
0.99967,-0.0031421,-0.00084345,0.32,-0.98454,0.5
0.99966,-0.0031708,-0.00084546,0.32,-0.98088,0.5
0.99965,-0.0031994,-0.00084747,0.32,-0.97722,0.5
0.99964,-0.003228,-0.00084948,0.32,-0.97356,0.5
0.99963,-0.0032567,-0.00085149,0.32,-0.9699,0.5
0.99963,-0.0032853,-0.0008535,0.32,-0.96624,0.5
0.99962,-0.0033139,-0.0008555,0.32,-0.96258,0.5
0.99961,-0.0033426,-0.00085751,0.32,-0.95892,0.5
0.9996,-0.0033712,-0.00085952,0.32,-0.95526,0.5
0.9996,-0.0033998,-0.00086153,0.32,-0.9516,0.5
0.99959,-0.0034284,-0.00086354,0.32,-0.94794,0.5
0.99958,-0.0034571,-0.00086555,0.32,-0.94428,0.5
0.99957,-0.0034857,-0.00086756,0.32,-0.94062,0.5
0.99957,-0.0035143,-0.00086957,0.32,-0.93696,0.5
0.99956,-0.003543,-0.00087158,0.32,-0.9333,0.5
0.99955,-0.0035716,-0.00087359,0.32,-0.92964,0.5
0.99954,-0.0036002,-0.0008756,0.32,-0.92598,0.5
0.99953,-0.0036289,-0.00087761,0.32,-0.92232,0.5
0.99953,-0.0036575,-0.00087962,0.32,-0.91866,0.5
0.99952,-0.0036861,-0.00088163,0.32,-0.915,0.5
0.99951,-0.0037252,-0.0008834,0.32,-0.91134,0.5
0.9995,-0.0037643,-0.00088517,0.32,-0.90768,0.5
0.99949,-0.0038035,-0.00088694,0.32,-0.90402,0.5
0.99948,-0.0038426,-0.00088871,0.32,-0.90036,0.5
0.99947,-0.0038817,-0.00089048,0.32,-0.8967,0.5
0.99946,-0.0039208,-0.00089225,0.32,-0.89304,0.5
0.99944,-0.0039599,-0.00089402,0.32,-0.88938,0.5
0.99943,-0.003999,-0.00089579,0.32,-0.88572,0.5
0.99942,-0.0040381,-0.00089756,0.32,-0.88206,0.5
0.99941,-0.0040772,-0.00089933,0.32,-0.8784,0.5
0.9994,-0.0041163,-0.0009011,0.32,-0.87474,0.5
0.99939,-0.0041554,-0.00090287,0.32,-0.87108,0.5
0.99938,-0.0041945,-0.00090464,0.32,-0.86742,0.5
0.99937,-0.0042336,-0.00090641,0.32,-0.86376,0.5
0.99936,-0.0042727,-0.00090818,0.32,-0.8601,0.5
0.99935,-0.0043118,-0.00090995,0.32,-0.85644,0.5
0.99934,-0.0043509,-0.00091172,0.32,-0.85278,0.5
0.99933,-0.00439,-0.00091349,0.32,-0.84912,0.5
0.99932,-0.0044291,-0.00091526,0.32,-0.84546,0.5
0.99931,-0.0044682,-0.00091703,0.32,-0.8418,0.5
0.9993,-0.0045073,-0.0009188,0.32,-0.83814,0.5
0.99929,-0.0045464,-0.00092057,0.32,-0.83448,0.5
0.99927,-0.0045856,-0.00092234,0.32,-0.83082,0.5
0.99926,-0.0046247,-0.00092411,0.32,-0.82716,0.5
0.99925,-0.0046638,-0.00092588,0.32,-0.8235,0.5
0.99924,-0.0047029,-0.00092765,0.32,-0.81984,0.5
0.99923,-0.004742,-0.00092942,0.32,-0.81618,0.5
0.99922,-0.0047811,-0.00093119,0.32,-0.81252,0.5
0.99921,-0.0048202,-0.00093296,0.32,-0.80886,0.5
0.9992,-0.0048593,-0.00093474,0.32,-0.8052,0.5
0.99919,-0.0048984,-0.00093651,0.32,-0.80154,0.5
0.99917,-0.0049607,-0.00093689,0.32,-0.79788,0.5
0.99915,-0.0050306,-0.00093681,0.32,-0.79422,0.5
0.99912,-0.0051006,-0.00093673,0.32,-0.79056,0.5
0.9991,-0.0051706,-0.00093665,0.32,-0.7869,0.5
0.99908,-0.0052405,-0.00093657,0.32,-0.78324,0.5
0.99906,-0.0053105,-0.00093649,0.32,-0.77958,0.5
0.99903,-0.0053805,-0.00093641,0.32,-0.77592,0.5
0.99901,-0.0054505,-0.00093633,0.32,-0.77226,0.5
0.99899,-0.0055204,-0.00093625,0.32,-0.7686,0.5
0.99897,-0.0055904,-0.00093617,0.32,-0.76494,0.5
0.99894,-0.0056604,-0.00093609,0.32,-0.76128,0.5
0.99892,-0.0057303,-0.00093601,0.32,-0.75762,0.5
0.9989,-0.0058003,-0.00093593,0.32,-0.75396,0.5
0.99887,-0.0058703,-0.00093585,0.32,-0.7503,0.5
0.99885,-0.0059402,-0.00093577,0.32,-0.74664,0.5
0.99883,-0.0060102,-0.00093569,0.32,-0.74298,0.5
0.99881,-0.0060802,-0.00093561,0.32,-0.73932,0.5
0.99878,-0.0061502,-0.00093554,0.32,-0.73566,0.5
0.99876,-0.0062201,-0.00093546,0.32,-0.732,0.5
0.99874,-0.0062901,-0.00093538,0.32,-0.72834,0.5
0.99872,-0.0063601,-0.0009353,0.32,-0.72468,0.5
0.99869,-0.00643,-0.00093522,0.32,-0.72102,0.5
0.99867,-0.0065,-0.00093514,0.32,-0.71736,0.5
0.99865,-0.00657,-0.00093506,0.32,-0.7137,0.5
0.99863,-0.00664,-0.00093498,0.32,-0.71004,0.5
0.9986,-0.0067099,-0.0009349,0.32,-0.70638,0.5
0.99858,-0.0067799,-0.00093482,0.32,-0.70272,0.5
0.99856,-0.0068499,-0.00093474,0.32,-0.69906,0.5
0.99853,-0.0069198,-0.00093466,0.32,-0.6954,0.5
0.99851,-0.0069898,-0.00093458,0.32,-0.69174,0.5
0.99849,-0.0070598,-0.0009345,0.32,-0.68808,0.5
0.99848,-0.0071213,-0.00093578,0.32,-0.68442,0.5
0.99847,-0.0071745,-0.00093841,0.32,-0.68076,0.5
0.99847,-0.0072276,-0.00094105,0.32,-0.6771,0.5
0.99847,-0.0072807,-0.00094369,0.32,-0.67344,0.5
0.99847,-0.0073338,-0.00094634,0.32,-0.66978,0.5
0.99846,-0.0073869,-0.00094899,0.32,-0.66612,0.5
0.99846,-0.00744,-0.00095165,0.32,-0.66246,0.5
0.99846,-0.0074931,-0.00095431,0.32,-0.6588,0.5
0.99846,-0.0075461,-0.00095698,0.32,-0.65514,0.5
0.99845,-0.0075992,-0.00095965,0.32,-0.65148,0.5
0.99845,-0.0076523,-0.00096233,0.32,-0.64782,0.5
0.99845,-0.0077053,-0.00096502,0.32,-0.64416,0.5
0.99844,-0.0077583,-0.00096772,0.32,-0.6405,0.5
0.99844,-0.0078114,-0.00097042,0.32,-0.63684,0.5
0.99844,-0.0078644,-0.00097313,0.32,-0.63318,0.5
0.99844,-0.0079174,-0.00097585,0.32,-0.62952,0.5
0.99843,-0.0079704,-0.00097858,0.32,-0.62586,0.5
0.99843,-0.0080233,-0.00098132,0.32,-0.6222,0.5
0.99843,-0.0080763,-0.00098407,0.32,-0.61854,0.5
0.99842,-0.0081293,-0.00098683,0.32,-0.61488,0.5
0.99842,-0.0081822,-0.00098961,0.32,-0.61122,0.5
0.99842,-0.0082351,-0.00099239,0.32,-0.60756,0.5
0.99841,-0.008288,-0.00099519,0.32,-0.6039,0.5
